restaurant,section,item,price,description,location,contact,hours,features,combined_text
Just BLR,Bar Bites,Popcorn Plain,₹229,Popcorn Plain is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: Popcorn Plain
Price: ₹229
Description: Popcorn Plain is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,Popcorn Peri Peri,₹249,Popcorn Peri Peri is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: Popcorn Peri Peri
Price: ₹249
Description: Popcorn Peri Peri is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,Roasted Masala Papad,₹249,Roasted Masala Papad is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: Roasted Masala Papad
Price: ₹249
Description: Roasted Masala Papad is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Som Tam,₹299,Som Tam is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Som Tam
Price: ₹299
Description: Som Tam is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Wai Wai Sadeko,₹199,Wai Wai Sadeko is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Wai Wai Sadeko
Price: ₹199
Description: Wai Wai Sadeko is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Kimchi Salad,₹299,Kimchi Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Kimchi Salad
Price: ₹299
Description: Kimchi Salad is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Spicy Thai Fruit Salad,₹299,Spicy Thai Fruit Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['spicy'],"Restaurant: Just BLR
Section: Soups & Salads
Item: Spicy Thai Fruit Salad
Price: ₹299
Description: Spicy Thai Fruit Salad is a dish from Just BLR listed under Soups & Salads.
Features: spicy
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Som Tam Prawn Salad,₹389,Som Tam Prawn Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['non-vegetarian'],"Restaurant: Just BLR
Section: Soups & Salads
Item: Som Tam Prawn Salad
Price: ₹389
Description: Som Tam Prawn Salad is a dish from Just BLR listed under Soups & Salads.
Features: non-vegetarian
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Singju,₹199,Singju is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Singju
Price: ₹199
Description: Singju is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Grilled Asian Beef Salad,₹379,Grilled Asian Beef Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Grilled Asian Beef Salad
Price: ₹379
Description: Grilled Asian Beef Salad is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Caeser Salad,₹299,Caeser Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Caeser Salad
Price: ₹299
Description: Caeser Salad is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Garden Green Salad,₹229,Garden Green Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Garden Green Salad
Price: ₹229
Description: Garden Green Salad is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Classic Greek Salad,₹289,Classic Greek Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Classic Greek Salad
Price: ₹289
Description: Classic Greek Salad is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Chicken Caeser Salad,₹379,Chicken Caeser Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['non-vegetarian'],"Restaurant: Just BLR
Section: Soups & Salads
Item: Chicken Caeser Salad
Price: ₹379
Description: Chicken Caeser Salad is a dish from Just BLR listed under Soups & Salads.
Features: non-vegetarian
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Classic Greek Salad (Chicken),₹379,Classic Greek Salad (Chicken) is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['non-vegetarian'],"Restaurant: Just BLR
Section: Soups & Salads
Item: Classic Greek Salad (Chicken)
Price: ₹379
Description: Classic Greek Salad (Chicken) is a dish from Just BLR listed under Soups & Salads.
Features: non-vegetarian
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Tomato Basil Soup,₹229,Tomato Basil Soup is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Tomato Basil Soup
Price: ₹229
Description: Tomato Basil Soup is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Veg Clear Soup,₹219,Veg Clear Soup is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['vegetarian'],"Restaurant: Just BLR
Section: Soups & Salads
Item: Veg Clear Soup
Price: ₹219
Description: Veg Clear Soup is a dish from Just BLR listed under Soups & Salads.
Features: vegetarian
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,French Onion Soup,₹249,French Onion Soup is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: French Onion Soup
Price: ₹249
Description: French Onion Soup is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Manchow Soup,₹219,Manchow Soup is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Manchow Soup
Price: ₹219
Description: Manchow Soup is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Chicken Clear Soup,₹249,Chicken Clear Soup is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['non-vegetarian'],"Restaurant: Just BLR
Section: Soups & Salads
Item: Chicken Clear Soup
Price: ₹249
Description: Chicken Clear Soup is a dish from Just BLR listed under Soups & Salads.
Features: non-vegetarian
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Singapore Laksa Soup,₹279,Singapore Laksa Soup is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Singapore Laksa Soup
Price: ₹279
Description: Singapore Laksa Soup is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Chicken Manchow Soup,₹249,Chicken Manchow Soup is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['non-vegetarian'],"Restaurant: Just BLR
Section: Soups & Salads
Item: Chicken Manchow Soup
Price: ₹249
Description: Chicken Manchow Soup is a dish from Just BLR listed under Soups & Salads.
Features: non-vegetarian
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Som Tam,₹299,Som Tam is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Som Tam
Price: ₹299
Description: Som Tam is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Wai Wai Sadeko,₹199,Wai Wai Sadeko is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Wai Wai Sadeko
Price: ₹199
Description: Wai Wai Sadeko is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Kimchi Salad,₹299,Kimchi Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Kimchi Salad
Price: ₹299
Description: Kimchi Salad is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Spicy Thai Fruit Salad,₹299,Spicy Thai Fruit Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['spicy'],"Restaurant: Just BLR
Section: Soups & Salads
Item: Spicy Thai Fruit Salad
Price: ₹299
Description: Spicy Thai Fruit Salad is a dish from Just BLR listed under Soups & Salads.
Features: spicy
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Som Tam Prawn Salad,₹389,Som Tam Prawn Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['non-vegetarian'],"Restaurant: Just BLR
Section: Soups & Salads
Item: Som Tam Prawn Salad
Price: ₹389
Description: Som Tam Prawn Salad is a dish from Just BLR listed under Soups & Salads.
Features: non-vegetarian
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Singju,₹199,Singju is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Singju
Price: ₹199
Description: Singju is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Grilled Asian Beef Salad,₹379,Grilled Asian Beef Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Grilled Asian Beef Salad
Price: ₹379
Description: Grilled Asian Beef Salad is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Caeser Salad,₹299,Caeser Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Caeser Salad
Price: ₹299
Description: Caeser Salad is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Garden Green Salad,₹229,Garden Green Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Garden Green Salad
Price: ₹229
Description: Garden Green Salad is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Classic Greek Salad,₹289,Classic Greek Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Soups & Salads
Item: Classic Greek Salad
Price: ₹289
Description: Classic Greek Salad is a dish from Just BLR listed under Soups & Salads.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Soups & Salads,Chicken Caeser Salad,₹379,Chicken Caeser Salad is a dish from Just BLR listed under Soups & Salads.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['non-vegetarian'],"Restaurant: Just BLR
Section: Soups & Salads
Item: Chicken Caeser Salad
Price: ₹379
Description: Chicken Caeser Salad is a dish from Just BLR listed under Soups & Salads.
Features: non-vegetarian
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
