restaurant,section,item,price,description,location,contact,hours
Just BLR,Soups & Salads,CLASSIC GREEK SALAD,₹289,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,CHICKEN CAESER SALAD,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,CLASSIC GREEK SALAD (CHICKEN),₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,TOMATO BASIL SOUP,₹229,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,VEG CLEAR SOUP,₹219,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,FRENCH ONION SOUP,₹249,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,MANCHOW SOUP,₹219,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,CHICKEN CLEAR SOUP,₹249,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,SINGAPORE LAKSA SOUP,₹279,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,CHICKEN MANCHOW SOUP,₹249,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,SOM TAM,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,WAI WAI SADEKO,₹199,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,KIMCHI SALAD,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,SPICY THAI FRUIT SALAD,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,SOM TAM PRAWN SALAD,₹389,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,SINGJU,₹199,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,GRILLED ASIAN BEEF SALAD,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,CAESER SALAD,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,GARDEN GREEN SALAD,₹229,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,CLASSIC GREEK SALAD,₹289,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,CHICKEN CAESER SALAD,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,CLASSIC GREEK SALAD (CHICKEN),₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,TOMATO BASIL SOUP,₹229,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,VEG CLEAR SOUP,₹219,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,FRENCH ONION SOUP,₹249,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,MANCHOW SOUP,₹219,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,CHICKEN CLEAR SOUP,₹249,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,SINGAPORE LAKSA SOUP,₹279,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,CHICKEN MANCHOW SOUP,₹249,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CALIFORNIA VEG PIZZA,₹369,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PESTO VEG PIZZA,₹369,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,EXOTIC VEG MAKHANI PIZZA,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PIZZA MARGARITA,₹369,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,GRILLED CHICKEN TOMATO BASIL PIZZA,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,SCHEZWAN CHICKEN PIZZA,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,BBQ CHICKEN PIZZA,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,GRILLED PRAWN PIZZA,₹419,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PASTA VEG (PESTO / ALFREDO / ARRABBIATA),₹349,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,FETTUCCINE WITH ALFREDO SAUCE,₹349,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PASTA NON-VEG (PESTO / ALFREDO / ARRABBIATA),₹389,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,FETTUCCINE WITH ALFREDO SAUCE,₹389,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,SPAGHETTI  BOLOGNESE,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,TRIO CHEESE BURGER,₹349,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CRUNCHY VEGGIE  BURGER,₹369,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,BBQ CHICKEN BURGER,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CRISPY CHICKEN BURGER,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CHICKEN WHOPPER BURGER,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,FISH FILLET BURGER,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,BBQ BEEF BURGER,₹389,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,NEW YORK BEEF BURGER,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,VEG HAKKA NOODLES,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CHILLI GARLIC NOODLES,₹329,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,VEG FRIED RICE (SCHEZWAN / PLAIN),₹329,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CHICKEN HAKKA NOODLES,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CHILLI CHICKEN GARLIC NOODLES,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CHICKEN FRIED RICE (SCHEZWAN / PLAIN),₹349,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CHICKEN FRIED NOODLES (SCHEZWAN / PLAIN),₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,EXOTIC VEG PLATTER,₹1199,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,THUKPA - VEG,₹189,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,THUKPA - CHICKEN,₹199,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,THUKPA - BEEF,₹219,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,THUKPA - PORK,₹209,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CHICKEN CURRY (WITH BAMBOO SHOOT),₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CHICKEN CURRY (ASSAMESE STYLE),₹279,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PORK AXONE,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,ANISHI PORK,₹289,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,ANISHI BEEF,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,FISH GRAVY (WITH BAMBOO SHOOT),₹279,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,THAI VEG RED CURRY,₹449,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,THAI VEG GREEN CURRY,₹449,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,THAI RED CURRY  CHICKEN,₹479,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,GRILLED CHICKEN STEAK,₹489,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,BBQ STUFFED CHICKEN STEAK,₹479,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PERI PERI GRILLED FISH FILLET,₹489,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CLASSIC FISH N CHIPS,₹499,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,NEW YORK BEEF  STEAK,₹549,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,MONGOLIAN BEEF,₹489,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,HARA BHARA KABAB,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,VEG BIRYANI,₹349,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PANEER TIKKA MASALA + PARATHA + GHEE RICE,₹419,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,LASOONI DAL TADKA,₹229,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PEELI DAL,₹249,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CHICKEN BIRIYANI,₹429,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,MUTTON BIRYANI,₹429,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,DELHIWALA BUTTER CHICKEN,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,WHEAT PARATHA,₹65,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CHAPATI,₹55,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,STEAM RICE,₹99,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,JASMINE RICE,₹139,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CALIFORNIA VEG PIZZA,₹369,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PESTO VEG PIZZA,₹369,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,EXOTIC VEG MAKHANI PIZZA,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PIZZA MARGARITA,₹369,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,GRILLED CHICKEN TOMATO BASIL PIZZA,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,SCHEZWAN CHICKEN PIZZA,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,BBQ CHICKEN PIZZA,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,GRILLED PRAWN PIZZA,₹419,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PASTA VEG (PESTO / ALFREDO / ARRABBIATA),₹349,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,FETTUCCINE WITH ALFREDO SAUCE,₹349,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,PASTA NON-VEG (PESTO / ALFREDO / ARRABBIATA),₹389,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,FETTUCCINE WITH ALFREDO SAUCE,₹389,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,SPAGHETTI  BOLOGNESE,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,TRIO CHEESE BURGER,₹349,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CRUNCHY VEGGIE  BURGER,₹369,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,BBQ CHICKEN BURGER,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CRISPY CHICKEN BURGER,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,CHICKEN WHOPPER BURGER,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,FISH FILLET BURGER,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,BBQ BEEF BURGER,₹389,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,NEW YORK BEEF BURGER,₹399,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Main Course,VEG HAKKA NOODLES,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
